property_city,Estimate (Land),Estimate (Building),Type of Residence,Rooms,Bedrooms,Central Heating,Central Air,Fireplaces,Building Square Feet,Sale Price,Full Baths,Garage 1 Size,Age,Garage indicator,Tax Year,Basement,Basement Finish,Near Major Road,Construction Quality,Renovation,Repair Condition,Neighborhood Code,Roof Material,Other Heating,Attic Type,Attic Finish,Cathedral Ceiling,Site Desireability,Porch,Other Improvements,Large Lot
HOFFMAN ESTATES,52910,251200,1,6,3,1,1,2,1591,305000,2,3,40,1,2019,4,3,0,2,NA,2,33,1,5,3,0,0,2,3,0,NA
HOFFMAN ESTATES,52910,251200,1,6,3,1,1,2,1591,305000,2,3,40,1,2019,4,3,0,2,NA,2,33,1,5,3,0,0,2,3,0,NA
HOFFMAN ESTATES,48310,220600,1,6,3,1,1,2,1591,305000,2,3,40,1,2019,4,3,0,2,NA,2,33,1,5,3,0,0,2,3,0,NA
SKOKIE,61380,245750,1,6,4,1,1,1,1625,300000,1,1,57,1,2018,3,3,1,2,NA,2,81,1,5,3,NA,2,2,3,0,0
GLENVIEW,31680,223870,NA,NA,NA,NA,NA,NA,NA,335000,NA,NA,37,NA,2019,NA,NA,0,NA,NA,NA,200,NA,NA,NA,0,NA,NA,3,NA,NA
NORTHBROOK,NA,NA,1,7,3,1,1,1,3862,1456974,3,5,1,1,2018,1,3,0,2,NA,2,10,1,5,3,NA,2,2,3,0,0
PALATINE,28310,167930,1,5,3,1,0,0,1071,234900,1,3,61,1,2018,1,3,0,2,NA,2,60,1,5,1,3,0,2,3,0,0
GLENVIEW,92010,429070,1,7,4,1,1,1,1735,500000,2,3,52,1,2018,3,1,0,2,NA,2,140,1,5,3,NA,0,1,3,0,0
DES PLAINES,68250,180600,2,7,4,1,0,1,1352,395000,1,3,92,1,2019,1,3,0,2,NA,2,23,1,5,2,3,0,2,1,0,NA
GLENVIEW,132840,297300,2,8,4,1,1,0,2367,520000,2,3,55,1,2018,3,3,0,2,NA,2,260,1,5,3,NA,0,2,1,0,0
EVANSTON,105000,598610,2,14,6,2,0,2,4407,735000,2,3,100,1,2018,1,3,0,2,NA,2,120,2,5,3,NA,2,2,1,0,0
